country_name,region_code,country_code,gdp_ppp_current_international,population_total,population_cgr_1960_2015,internet_users_per_100_people,popltn_largest_city_of_urban_pop,2014_life_expectancy_at_birth_total_years,literacy_rate_adult_female_of_females_ages_15_and_above,exports_of_goods_and_services_of_gdp
Algeria,ME,DZA,582597642740.4922,39666519,0.023384172873342157,38.2,0.09246543006206501,74.80809756097563,73.0551300048828,
East Asia & Pacific (excluding high income),,EAP,25988222799526.383,2035129646,0.01501754381699727,44.982048970782806,0.07669628454984462,73.9857230370492,,0.2526904725038495
Early-demographic dividend,,EAR,27102333853783.652,3122703317,0.021293220475814056,29.79234254685315,0.18099077587029597,69.03914206819549,,
East Asia & Pacific,,EAS,35767059501318.25,2279186469,0.01432372893269851,49.82471578037743,0.11730154863135722,74.92850744213446,,0.2993961907443522
Europe & Central Asia (excluding high income),,ECA,7429211095071.091,411338238,0.007332980212844564,59.932064459407314,0.1812304785635509,71.89472566267892,,0.32607270628762336
Europe & Central Asia,,ECS,26947887951476.47,907944124,0.005608726229952232,71.74412921266939,0.16968220862241912,76.892204209525,,0.4196551633407758
Ecuador,SA,ECU,183854538951.81754,16144363,0.023311613683514754,48.9404337892669,0.26327834538624045,75.87248780487805,93.5975875854492,0.21070176522133002
"Egypt, Arab Rep.",ME,EGY,996638129039.8241,91508084,0.02239086192126183,35.9,0.47557162781567863,71.12170731707317,68.0577926635742,0.13206848300271629
Euro area,,EMU,13564044499578.043,339425073,0.004483261454845566,80.28028396945396,0.15462959853401423,81.64866943714901,,0.4456839451174951
Eritrea,AF,ERI,,,,1.083733115675,,63.66302439024392,65.608772277832,
Spain,EU,ESP,1602660452816.54,46418269,0.00769203149112152,78.6896,0.16782320697089387,83.07804878048782,97.4969635009766,0.33147827856343476
Estonia,EU,EST,36860327909.01705,1311998,0.0014494378696956467,88.4066,0.44138621392466054,77.23902439024391,99.8047027587891,0.7976096859817087
Ethiopia,AF,ETH,161570921285.02505,99390750,0.02766982916276195,11.6,0.16728484506081034,64.0350243902439,40.9679412841797,0.09827312008588157
European Union,,EUU,19202504786404.17,509668361,0.003986599871914631,79.62581460750232,0.1612275341313663,80.67381364140003,,0.42922644521705455
Fragile and conflict affected situations,,FCS,1817637243823.9272,485609230,0.025946903135167343,14.986308746989986,0.34703024322136033,61.721070804075076,,0.2740756358920215
Finland,EU,FIN,222574765336.252,5482013,0.0038830725232381624,92.6513,0.25555868889925637,81.12926829268294,,0.37295627835151046
Fiji,PA,FJI,8171144624.7336235,892145,0.014999470285667726,46.32872894627,,70.08912195121952,,0.6417194312380868
France,EU,FRA,2650822573674.729,66808385,0.006487155223759977,84.6945,0.20410494456690795,82.37317073170733,,0.29992338449124417
Faroe Islands,,FRO,,48199,0.006222638216330623,94.2,,81.69268292682928,,
"Micronesia, Fed. Sts.",PA,FSM,,104460,0.01561962188620214,31.501081275309,,69.10107317073171,,
Gabon,AF,GAB,34523334038.13088,1725292,0.022804626135365824,23.5,0.4703247666581321,64.38339024390244,81.1102066040039,0.45881115950713325
United Kingdom,EU,GBR,2691808537206.8213,65138232,0.0039642928599576965,92.0003,0.19170082980586486,81.05609756097563,,0.2743408915393856
Georgia,RU,GEO,35609731219.117805,3679000,0.0001658322060058559,45.1583744140752,0.5814613175288783,74.66863414634146,99.7338180541992,0.45042061236950415
